S.A. Borders-Shoemaker, Blinded allegiance disallows knowledge of choosing and authenticity.
William Shakespeare, Things won are done  joy's soul lies in the doing.
Anonymous, If hard work alone led to success  the donkey would own the farm.
Hunter Hayes, The reason you would be a success is because you don’t have a backup plan.  If you didn’t create the space it would have created itself.  If you create a version of a more secure future  there may have been a disconnect from what you love.
Richard Bach, What the caterpillar calls the end of the world  the master calls a butterfly.
Friedrich Nietzsche, It is nobler to declare oneself wrong than to insist on being right - especially when one is right. 
Robert Greene, Bring pleasure by creating a positive atmosphere around your name or message. Never seem to be selling something - that would look manipulative and suspicious. Instead  let entertainment value and good feelings take centre stage  sneaking the sale through the side door.
Fyodor Dostoevsky, Existentialism isn't so atheistic that it wears itself out showing that God doesn't exist. Rather  it declares that even if God did exist  that would change nothing.
Lao Tzu, If you are depressed you are living in the past. If you are anxious you are living in the future. If you are at peace you are living in the present.
Frederick Douglass, Power concedes nothing without a demand. It never did and it never will. Find out just what any people will quietly submit to and you have found out the exact measure of injustice and wrong which will be imposed upon them  and these will continue till they are resisted with either words or blows  or with both. The limits of tyrants are prescribed by the endurance of those whom they oppress.
Epictetus, Each man's master is the man who has authority over what he wishes or does not wish  to secure the one or to take away the other. Let him then who wishes to be free not wish for anything or avoid anything that depends on others; or else he is bound to be a slave.
Epictetus, Never say of anything  'I lost it'  but say  'I gave it back'. Has your child died? It was given back. Has your wife died? She was given back. Has your estate been taken from you? Was not this also given back? But you say  'He who took it from me is wicked'. What does it matter to you through whom the Giver asked it back? As long as He gives it you  take care of it  but not as your own; treat it as passers-by treat an inn.
Epictetus, Sickness is a hindrance to the body  but not to the will  unless the will consent. Lameness is a hindrance to the leg  but not to the will. Say this to yourself at each event that happens  for you shall find that though it hinders something else it will not hinder you.
Franz Kafka, I am nothing to anyone  and that is my greatest freedom.
T. S. Eliot, Poetry is not a turning loose of emotion  but an escape from emotion; it is not the expression of personality  but an escape from personality. But  of course  only those who have personality and emotions know what it means to want to escape from these things.
Fyodor Dostoevsky, Nothing is easier than to denounce the evildoer; nothing is more difficult than to understand him
Viktor Frankl, Between stimulus and response there is a space. In that space is our power to choose our response. In our response lies our growth and our freedom.
Robert Greene, Displaying anger and emotion are signs of weakness; you cannot control yourself  so how can you control anything?
George Bernard Shaw, Beware of false knowledge; it is more dangerous than ignorance.
George Bernard Shaw, Life isn't about finding yourself. Life is about creating yourself.
Carl Jung, Unless you learn to face your own shadows  you’ll keep seeing them in others. Because the world outside is only a reflection to the world inside you.
Anonymous, Confidence is that feeling you have before you understand fully what you have gotten yourself into.
Niccolò Machiacelli, Any man who tries to be good all the time is bound to come to ruin among the great number who are not good.
Ray Bradbury, You must admit that you are lost before you can be found.
Seneca, Life is very short and anxious for those who forget the past  neglect the present  and fear the future.
Seneca, ⁠We are more often frightened than hurt; and we suffer more from imagination than from reality.
Marcus Aurelius, ⁠Be like the cliff against which the waves continually break; but it stands firm and tames the fury of the water around it.
Seneca, Let them be harassed by toil  by suffering  by losses  in order that they may gather true strength. Bodies grown fat through sloth are weak  and not only labour  but even movement and their very weight cause them to break down. Unbroken prosperity cannot withstand a single blow; but he who has struggled constantly with his ills becomes hardened through suffering; and yields to no misfortune; nay  even if he falls  he still fights upon his knees.
Epictetus, Every difficulty in life presents us with an opportunity to turn inward and to invoke our own submerged inner resources. The trials we endure can and should introduce us to our strengths...Dig deeply. You possess strengths you might not realize you have.   Find the right one.   Use it.
Steve Maraboli, Sometimes life knocks you on your ass... get up  get up  get up!!! Happiness is not the absence of problems  it's the ability to deal with them.
Franz Kafka, Don’t bend; don’t water it down; don’t try to make it logical; don’t edit your own soul according to the fashion. Rather  follow your most intense obsessions mercilessly.
Albert Camus, The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion.
Robert Greene, The need for certainty is the greatest disease the mind faces. Develop the habit of suspending the need to judge everything that crosses your path. Consider and even momentarily entertain viewpoints opposite to your own  seeing how they feel. Do anything to break up your normal train of thinking and your sense that you already know the truth.
David Perlmutter, Strive for progress  not perfection.
Stephen McCranie, The master has failed more times than the beginner has tried.
Pierre-Augustin Caron de Beaumarchais, At last I have what I wanted. Am I happy? Not really. But what’s missing? My soul no longer has that piquant activity conferred by desire. … Oh  we shouldn’t delude ourselves- pleasure isn’t in the fulfillment  but in the pursuit.
Seneca, The easiest thing in the ​world —to live in accordance with his own nature. But this is turned into a hard task by the general madness of mankind; we push one another into vice. And how can a man be recalled to salvation  when he has none to restrain him  and all mankind to urge him on?
Seneca, Associate with those who will make a better man of you. Welcome those whom you yourself can improve. The process is mutual; for men learn while they teach.
Heraclitus, No man ever steps in the same river twice  for it's not the same river and he's not the same man.
